TREEID,COMMONNAME,LATINNAME,SPECIES,SPECIESCODE,SPECIESNAME,GENUS,GENUSENGLISH,LEAFCYCLE,LEAFTYPE,MATHEIGHT,MATWIDTH,FORM,FALLCOLOR,FLOWER,FRUIT,WATERNEED
85,Ginkgo,Ginkgo biloba,biloba,GIBI,Ginkgo,Ginkgo,Ginkgo,Deciduous,Broadleaved,,,,,,,
86,Honeylocust,Gleditsia triacanthos,triacanthos,GLTR,Honeylocust,Gleditsia,honeylocust,Deciduous,Broadleaved,40-50,30-40,rounded,yellow,,bean pod ,medium
87,Kentucky coffeetree,Gymnocladus dioicus,dioicus,GYDI,"Coffeetree, Kentucky",Gymnocladus,coffeetree,Deciduous,Broadleaved,60-80,40-45,"rounded, irregular",yellow,,bean pod,low to medium
88,Black walnut,Juglans nigra,nigra,JUNI,"Walnut, Black",Juglans,walnut,Deciduous,Broadleaved,,,,,,,
89,English walnut,Juglans regia,regia,JURE,"Walnut, English",Juglans,walnut,Deciduous,Broadleaved,,,,,,,
90,Chinese juniper,Juniperus chinensis,chinensis,JUCH,"Juniper, Chinese",Juniperus,juniper,Evergreen,Needleleaved,,,,,,,
91,One Seed juniper,Juniperus monosperma,monosperma,JUMO,"Juniper, One Seed",Juniperus,juniper,Evergreen,Needleleaved,,,,,,,
92,Rocky Mountain juniper,Juniperus scopulorum,scopulorum,JUSC,"Juniper, Rocky Mountain",Juniperus,juniper,Evergreen,Needleleaved,15-30,,,,,,low
93,juniper unknown species,Juniperus spp,spp,JU,Juniper unknown species,Juniperus,juniper,Evergreen,Needleleaved,,,,,,,
94,Eastern Red cedar,Juniperus virginiana,virginiana,JUVI,"Cedar, Eastern Red",Juniperus,juniper,Evergreen,Needleleaved,15-30,,,,,,low
95,Goldenrain tree,Koelreuteria paniculata,paniculata,KOPA,Goldenrain tree,Koelreuteria,Goldenrain tree,Deciduous,Broadleaved,30-40,30-40,"rounded, irregular","orange, yellow",yellow clusters,seed capsule,low
96,Goldenchain tree,Laburnum x watereri,x watereri,LAWA,Goldenchain tree,Laburnum,Goldenchain tree,Deciduous,Broadleaved,,,,,,,
97,European larch,Larix decidua,decidua,LADE,"Larch, European",Larix,larch,Deciduous,Broadleaved,,,,,,,
98,larch unknown species,Larix spp,spp,LA10,Larch unknown species,Larix,larch,Deciduous,Broadleaved,,,,,,,
99,Sweetgum,Liquidambar styraciflua,styraciflua,LIST,Sweetgum,Liquidambar,Sweetgum,Deciduous,Broadleaved,60-80,40-60,"oval, irregular","orange, purple, red",,seed ball,medium
100,Tuliptree,Liriodendron tulipifera,tulipifera,LITU,Tuliptree,Liriodendron,Tuliptree,Deciduous,Broadleaved,60-70,30-50,upright,yellow,"yellow, tulip-like",seed capsule,medium
